Drug,Smiles
5311128,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
16051933,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
25074887,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
5280754,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
14257662,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
6400441,C[C@@H](O)[C@@H](CO)NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](N)CC2=CC=CC=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)O)C(=O)N1
1051,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N
135444742,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
6274,N[C@@H](CC1=CN=CN1)C(O)=O
34756,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12
1060,CC(=O)C(O)=O
6140,N[C@@H](CC1=CC=CC=C1)C(O)=O
171548,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
305,C[N+](C)(C)CCO
5962,NCCCC[C@H](N)C(O)=O
6322,N[C@@H](CCCNC(N)=N)C(O)=O
54670067,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
1103,NCCCNCCCCNCCCN
5960,N[C@@H](CC(O)=O)C(O)=O
6262,NCCC[C@H](N)C(O)=O
5961,N[C@@H](CCC(N)=O)C(O)=O
6083,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
5951,N[C@@H](CO)C(O)=O
6137,CSCC[C@H](N)C(O)=O
6057,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
5280453,C[C@H](CCCC(O)(C)C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
67678,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
1110,OC(=O)CCC(O)=O
493570,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
1738118,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
33032,N[C@@H](CCC(O)=O)C(O)=O
124886,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
6323481,CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O
750,C(C(=O)O)N
5283731,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
1050,CC1=NC=C(CO)C(C=O)=C1O
586,CN(CC(O)=O)C(N)=N
6106,CC(C)C[C@H](N)C(O)=O
6305,N[C@@H](Cc1cnc2ccccc12)C(O)=O
5862,N[C@@H](CS)C(O)=O
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
5280793,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
9750,N[C@@H](CCCNC(N)=O)C(O)=O
6288,C[C@@H](O)[C@H](N)C(O)=O
439153,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
135398658,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
5950,C[C@H](N)C(O)=O
6287,CC(C)[C@H](N)C(O)=O
14985,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
1054,CC1=NC=C(C(=C1O)CO)CO
864,OC(=O)CCCCC1CCSS1
6306,CC[C@H](C)[C@H](N)C(O)=O
134601,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
5280795,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
4055,CC1=CC(=O)C2=CC=CC=C2C1=O
5957,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
145742,OC(=O)[C@@H]1CCCN1
190,NC1=C2NC=NC2=NC=N1
6267,N[C@@H](CC(N)=O)C(O)=O
54687,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
3404,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
60846,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
5362129,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
71398,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
82153,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
3007,CC(CC1=CC=CC=C1)N
444007,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)CCNC(=O)OCC(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
942,CN1CCCC1C2=CN=CC=C2
25137844,CC1O[C@@]2(CS1)CN1CCC2CC1
3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
59768,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
387447,[H][C@@](CC(C)C)(NC(=O)[C@]([H])(CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
38101,O.C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
4771,CC(C)(CC1=CC=CC=C1)N
52195,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
33741,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
21704,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
5591,CC1=C(C(=C2CCC(OC2=C1C)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C)O
65028,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
12560,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
5314,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
