node_id,namespace,identifier,name
1,pubchem,85,(3-carboxy-2-hydroxypropyl)-trimethylazanium
2,umls,C0000729,Abdominal cramps
3,umls,C0000737,Abdominal pain
4,umls,C0687713,Gastrointestinal pain
5,umls,C0002418,Amblyopia
6,umls,C0002871,Anaemia
7,umls,C0003123,Anorexia
8,umls,C0232462,Decreased appetite
9,umls,C0003467,Anxiety
10,umls,C0003811,Arrhythmia
11,umls,C0004093,Asthenia
12,umls,C0004238,Atrial fibrillation
13,umls,C0004604,Back pain
14,umls,C0006277,Bronchitis
15,umls,C0007222,Cardiovascular disorder
16,umls,C0008031,Chest pain
17,umls,C0009450,Infection
18,umls,C0009806,Constipation
19,umls,C0010200,Cough
20,umls,C0011570,Depression
21,umls,C0011991,Diarrhoea
22,umls,C0012833,Dizziness
23,umls,C0013378,Dysgeusia
24,umls,C0013395,Dyspepsia
25,umls,C0013404,Dyspnoea
26,umls,C0015230,Rash
27,umls,C0011603,Dermatitis
28,umls,C0015397,Eye disorder
29,umls,C0015967,Body temperature increased
30,umls,C0017152,Gastritis
31,umls,C0017178,Gastrointestinal disorder
32,umls,C0018681,Headache
33,umls,C0019080,Haemorrhage
34,umls,C0518015,Haemoglobin
35,umls,C0020437,Hypercalcaemia
36,umls,C0020461,Hyperkalaemia
37,umls,C0020517,Hypersensitivity
38,umls,C0020538,Hypertension
39,umls,C0020649,Hypotension
40,umls,C0021400,Influenza
41,umls,C0023218,Cramps of lower extremities
42,umls,C0037763,Muscle spasms
43,umls,C0025222,Melaena
44,umls,C0026826,Hypertonia
45,umls,C0027497,Nausea
46,umls,C0030193,Pain
47,umls,C0030252,Palpitations
48,umls,C0030517,Parathyroid disorder
49,umls,C0030554,Paraesthesia
50,umls,C0031350,Pharyngitis
51,umls,C0033774,Pruritus
52,umls,C0035078,Renal failure
53,umls,C0035455,Rhinitis
54,umls,C0036572,Convulsion
55,umls,C0037199,Sinusitis
56,umls,C0039231,Tachycardia
57,umls,C0042029,Urinary tract infection
58,umls,C0042373,Angiopathy
59,umls,C0042571,Vertigo
60,umls,C0042963,Vomiting
61,umls,C0043094,Weight increased
62,umls,C0043096,Weight decreased
63,umls,C0085595,Body odor
64,umls,C0234930,Skin odour abnormal
65,umls,C0085649,Oedema peripheral
66,umls,C0151735,Injection site reaction
67,umls,C0151736,Accidental injury
68,umls,C3263723,Injury
69,umls,C0152020,Gastric atony
70,umls,C0522063,Impaired gastric emptying
71,umls,C0231528,Myalgia
72,umls,C0948594,Musculoskeletal discomfort
73,umls,C0426576,Gastrointestinal symptom NOS
74,umls,C0522055,Electrocardiogram abnormal
75,umls,C0546817,Fluid overload
76,umls,C0917801,Insomnia
77,umls,C0947912,Myasthenia
78,umls,C0151786,Muscular weakness
79,umls,C1510472,Drug dependence
80,pubchem,119,4-aminobutanoic acid
81,umls,C0002792,Anaphylactic shock
82,umls,C0002994,Angioedema
83,umls,C0042109,Urticaria
84,umls,C0863083,Injection site tenderness
85,umls,C0151828,Injection site pain
86,pubchem,137,5-amino-4-oxopentanoic acid
87,umls,C0003537,Aphasia
88,umls,C0004936,Mental disorder
89,umls,C0006118,Brain neoplasm
90,umls,C0013604,Oedema
91,umls,C0015256,Excoriation
92,umls,C0017638,Glioma
93,umls,C0018799,Cardiac disorder
94,umls,C0018979,Hemianopia
95,umls,C0018989,Hemiparesis
96,umls,C0019348,Herpes simplex
97,umls,C0020429,Hyperpathia
98,umls,C0020453,Hyperaesthesia
99,umls,C0020580,Hypoaesthesia
100,umls,C0023518,Leukocytosis
101,umls,C0027651,Neoplasm
102,umls,C0027765,Nervous system disorder
103,umls,C0027769,Nervousness
104,umls,C0233494,Tension
105,umls,C0031256,Petechiae
106,umls,C0035229,Respiratory insufficiency
107,umls,C1145670,Respiratory failure
108,umls,C0036508,Seborrhoeic dermatitis
109,umls,C0037274,Skin disorder
110,umls,C0038814,Sunburn
111,umls,C0162830,Photosensitivity reaction
112,umls,C0040034,Thrombocytopenia
113,umls,C0040038,Thromboembolism
114,umls,C0013922,Embolism
