node_id	namespace	identifier	name	type
1	pubchem.compound	10918	(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium	experimental drug
2	umls	C0000729	Abdominal cramps	phenotype
3	umls	C0000737	Abdominal pain	phenotype
4	umls	C0687713	Gastrointestinal pain	phenotype
5	umls	C0002418	Amblyopia	phenotype
6	umls	C0002871	Anaemia	phenotype
7	umls	C0003123	Anorexia	phenotype
8	umls	C0232462	Decreased appetite	phenotype
9	umls	C0003467	Anxiety	phenotype
10	umls	C0003811	Arrhythmia	phenotype
11	umls	C0004093	Asthenia	phenotype
12	umls	C0004238	Atrial fibrillation	phenotype
13	umls	C0004604	Back pain	phenotype
14	umls	C0006277	Bronchitis	phenotype
15	umls	C0007222	Cardiovascular disorder	phenotype
16	umls	C0008031	Chest pain	phenotype
17	umls	C0009450	Infection	phenotype
18	umls	C0009806	Constipation	phenotype
19	umls	C0010200	Cough	phenotype
20	umls	C0011570	Depression	phenotype
21	umls	C0011991	Diarrhoea	phenotype
22	umls	C0012833	Dizziness	phenotype
23	umls	C0013378	Dysgeusia	phenotype
24	umls	C0013395	Dyspepsia	phenotype
25	umls	C0013404	Dyspnoea	phenotype
26	umls	C0015230	Rash	phenotype
27	umls	C0011603	Dermatitis	phenotype
28	umls	C0015397	Eye disorder	phenotype
29	umls	C0015967	Body temperature increased	phenotype
30	umls	C0017152	Gastritis	phenotype
31	umls	C0017178	Gastrointestinal disorder	phenotype
32	umls	C0018681	Headache	phenotype
33	umls	C0019080	Haemorrhage	phenotype
34	umls	C0518015	Haemoglobin	phenotype
35	umls	C0020437	Hypercalcaemia	phenotype
36	umls	C0020461	Hyperkalaemia	phenotype
37	umls	C0020517	Hypersensitivity	phenotype
38	umls	C0020538	Hypertension	phenotype
39	umls	C0020649	Hypotension	phenotype
40	umls	C0021400	Influenza	phenotype
41	umls	C0023218	Cramps of lower extremities	phenotype
42	umls	C0037763	Muscle spasms	phenotype
43	umls	C0025222	Melaena	phenotype
44	umls	C0026826	Hypertonia	phenotype
45	umls	C0027497	Nausea	phenotype
46	umls	C0030193	Pain	phenotype
47	umls	C0030252	Palpitations	phenotype
48	umls	C0030517	Parathyroid disorder	phenotype
49	umls	C0030554	Paraesthesia	phenotype
50	umls	C0031350	Pharyngitis	phenotype
51	umls	C0033774	Pruritus	phenotype
52	umls	C0035078	Renal failure	phenotype
53	umls	C0035455	Rhinitis	phenotype
54	umls	C0036572	Convulsion	phenotype
55	umls	C0037199	Sinusitis	phenotype
56	umls	C0039231	Tachycardia	phenotype
57	umls	C0042029	Urinary tract infection	phenotype
58	umls	C0042373	Angiopathy	phenotype
59	umls	C0042571	Vertigo	phenotype
60	umls	C0042963	Vomiting	phenotype
61	umls	C0043094	Weight increased	phenotype
62	umls	C0043096	Weight decreased	phenotype
63	umls	C0085595	Body odor	phenotype
64	umls	C0234930	Skin odour abnormal	phenotype
65	umls	C0085649	Oedema peripheral	phenotype
66	umls	C0151735	Injection site reaction	phenotype
67	umls	C0151736	Accidental injury	phenotype
68	umls	C3263723	Injury	phenotype
